date,y,y_pred
2018-12-25,15757346.0,16930640.482865363
2018-12-26,16795736.0,16482582.197211923
2018-12-27,16582890.0,15858793.349528806
2018-12-28,14906247.0,14629082.909242222
2018-12-29,16670166.0,16125971.602876639
2018-12-30,16667106.0,16329616.068467725
2018-12-31,18298079.0,18071519.081294686
2019-01-01,16865930.0,17055093.255331118
2019-01-02,16923511.0,16582178.123242855
2019-01-03,16666430.0,15941986.079059139
2019-01-04,15274054.0,14708282.493708646
2019-01-05,16712678.0,16190032.789167045
2019-01-06,16488079.0,16396616.822279356
2019-01-07,19745929.0,18138889.97336656
2019-01-08,17345085.0,17150886.617887758
2019-01-09,16378043.0,16709695.223647505
2019-01-10,15378628.0,16108535.119408598
2019-01-11,14416268.0,14922858.993946068
2019-01-12,16435873.0,16435903.400327927
2019-01-13,16153417.0,16684269.198980741
2019-01-14,19065877.0,18456404.449820116
2019-01-15,17537361.0,17515511.340254135
2019-01-16,16475819.0,17112833.58077345
2019-01-17,16612705.0,16544907.009035094
2019-01-18,15610428.0,15388614.689476797
2019-01-19,17829732.0,16901657.14726585
2019-01-20,16191156.0,17148500.563043263
2019-01-21,18446678.0,18896268.32376843
2019-01-22,17711520.0,17938823.66641411
2019-01-23,17152354.0,17515149.35311302
2019-01-24,16799498.0,16914758.16960131
2019-01-25,14358261.0,15717188.6344603
2019-01-26,16505812.0,17164692.189573843
2019-01-27,16460651.0,17344505.35785226
2019-01-28,18966510.0,19013665.674317483
2019-01-29,17523311.0,17982647.69515842
2019-01-30,16670880.0,17469004.944259137
2019-01-31,15673610.0,16779312.07303376
2019-02-01,14851820.0,15496879.326232782
2019-02-02,16647473.0,16857724.1077858
2019-02-03,15762790.0,16962349.624952793
2019-02-04,18853446.0,18562663.463539362
2019-02-05,16661605.0,17482795.64241724
2019-02-06,16880002.0,16933371.062829975
2019-02-07,15433765.0,16224371.12178211
2019-02-08,14542528.0,14941327.530772401
2019-02-09,13427529.0,16311984.87564033
2019-02-10,14750647.0,16447635.674683321
2019-02-11,15923873.0,18092205.99744312
2019-02-12,17376513.0,17080332.722189978
2019-02-13,16442365.0,16612354.277687836
2019-02-14,16176378.0,15998187.65429473
2019-02-15,15727684.0,14822102.914839903
2019-02-16,17138258.0,16300180.522973007
2019-02-17,16700113.0,16551305.950214718
2019-02-18,19358001.0,18308521.736656036
2019-02-19,18144553.0,17414456.585524544
2019-02-20,16948848.0,17057117.401161477
2019-02-21,15883358.0,16544852.45397917
2019-02-22,14637806.0,15459762.804830289
2019-02-23,16929580.0,17005994.20267455
2019-02-24,16288034.0,17310413.19766271
2019-02-25,19170738.0,19096228.843131807
2019-02-26,17740707.0,18215757.696927764
2019-02-27,17021508.0,17846982.282277875
2019-02-28,16488186.0,17299547.33562512
2019-03-01,14615010.0,16156738.16385044
2019-03-02,16717206.0,17614522.01857686
2019-03-03,17771768.0,17811807.77016535
2019-03-04,19282531.0,19466229.112931244
2019-03-05,17431186.0,18444130.127170928
2019-03-06,17982568.0,17917770.83490786
2019-03-07,16367016.0,17202236.595443953
2019-03-08,15195914.0,15885866.279060476
2019-03-09,17158845.0,17159932.198345885
2019-03-10,15860672.0,17178381.85079586
2019-03-11,18498505.0,18655693.55033114
2019-03-12,17241858.0,17474008.545106255
2019-03-13,15586981.0,16800926.98066754
2019-03-14,15366750.0,15957292.839049138
2019-03-15,14085563.0,14536054.639936404
2019-03-16,15681970.0,15722587.613077277
2019-03-17,15525384.0,15683942.228377014
2019-03-18,18700474.0,17128817.46665187
2019-03-19,15914743.0,15951904.069593493
2019-03-20,13565794.0,15312353.158181183
2019-03-21,13248673.0,14532534.427585924
2019-03-22,13297863.0,13205439.890954414
2019-03-23,11988523.0,14505768.569926677
2019-03-24,12360669.0,14608808.515805274
2019-03-25,15746666.0,16212657.316142004
2019-03-26,15055315.0,15219905.334620304
2019-03-27,14326248.0,14776901.478817701
2019-03-28,14096213.0,14203601.267971877
2019-03-29,13637083.0,13089619.059130177
2019-03-30,15650380.0,14596166.527366994
2019-03-31,13848732.0,14904642.687601399
2019-04-01,14318301.0,16701157.263196416
2019-04-02,12509705.0,15895589.073234288
2019-04-03,14000407.0,15621662.635836199
2019-04-04,14557179.0,15197877.934325367
2019-04-05,14664348.0,14212369.94262469
2019-04-06,16877783.0,15815127.189588247
2019-04-07,16098788.0,16196651.731688667
2019-04-08,19128704.0,18034743.14353232
2019-04-09,18743253.0,17250381.30296753
2019-04-10,17627877.0,16969164.045155775
2019-04-11,16236089.0,16512651.017955322
2019-04-12,15025384.0,15471705.96872984
2019-04-13,16526725.0,16990324.159861382
2019-04-14,17490050.0,17272211.97725757
2019-04-15,19815108.0,18991122.566323314
2019-04-16,18845485.0,18082669.49407123
2019-04-17,17871266.0,17667661.077296887
2019-04-18,16829259.0,17073296.511529095
2019-04-19,15310527.0,15895312.617851809
2019-04-20,17455078.0,17272745.75440331
2019-04-21,14723000.0,17423020.308621854
2019-04-22,19340491.0,19015625.191233654
2019-04-23,18372092.0,17999876.24139807
2019-04-24,18245745.0,17490185.97355428
2019-04-25,17065983.0,16817170.366661996
2019-04-26,15342190.0,15578676.284362622
2019-04-27,17149486.0,16905569.580752376
2019-04-28,17375979.0,17025436.8609396
2019-04-29,18380994.0,18599716.731171105
2019-04-30,18732508.0,17587530.905282255
2019-05-01,17038802.0,17093011.757588677
2019-05-02,16635313.0,16446440.887587987
2019-05-03,15335204.0,15244273.395165717
2019-05-04,17194458.0,16606059.91717749
2019-05-05,17073730.0,16766857.690251758
2019-05-06,19661246.0,18377897.983094852
2019-05-07,18452424.0,17406550.257142007
2019-05-08,17834387.0,16945752.853994682
2019-05-09,16976144.0,16325208.262711992
2019-05-10,15093297.0,15140408.015701558
2019-05-11,18014691.0,16500671.140871212
2019-05-12,16503569.0,16650226.258152012
2019-05-13,18697124.0,18232357.33226308
2019-05-14,17701380.0,17225425.192589145
2019-05-15,16349076.0,16714310.136191163
2019-05-16,15653245.0,16031559.945599427
2019-05-17,15436929.0,14775301.910624813
2019-05-18,16509329.0,16048278.154466376
2019-05-19,16118744.0,16107476.87265635
2019-05-20,18589043.0,17591635.95337603
