Date,"Main Page"
2017-12-29,14409944
2017-12-30,16459427
2017-12-31,16692166
2018-01-01,18300927
2018-01-02,17109822
2018-01-03,16871051
2018-01-04,15896656
2018-01-05,14577101
2018-01-06,16562727
2018-01-07,17018516
2018-01-08,18370204
2018-01-09,17926423
2018-01-10,17483936
2018-01-11,16155207
2018-01-12,15617955
2018-01-13,16961796
2018-01-14,17656862
2018-01-15,20746512
2018-01-16,19087842
2018-01-17,18302759
2018-01-18,17881071
2018-01-19,15335626
2018-01-20,17610743
2018-01-21,17516978
2018-01-22,20986940
2018-01-23,19758804
2018-01-24,18558042
2018-01-25,17437180
2018-01-26,16734895
2018-01-27,18313379
2018-01-28,16408695
2018-01-29,19065518
2018-01-30,18540541
2018-01-31,18644152
2018-02-01,17994050
2018-02-02,16242250
2018-02-03,18246290
2018-02-04,18599986
2018-02-05,19456337
2018-02-06,19144278
2018-02-07,18616014
2018-02-08,17739546
2018-02-09,16713706
2018-02-10,17012080
2018-02-11,14983057
2018-02-12,19381082
2018-02-13,17909844
2018-02-14,17641209
2018-02-15,16361529
2018-02-16,15602932
2018-02-17,17085085
2018-02-18,17244841
2018-02-19,18984291
2018-02-20,16224657
2018-02-21,18041150
2018-02-22,17247210
2018-02-23,15273415
2018-02-24,17591659
2018-02-25,17233759
2018-02-26,20164096
2018-02-27,18259660
2018-02-28,17545892
2018-03-01,17462052
2018-03-02,15489987
2018-03-03,17542774
2018-03-04,16983484
2018-03-05,19987037
2018-03-06,18924188
2018-03-07,17927852
2018-03-08,17001196
2018-03-09,15640275
2018-03-10,17727170
2018-03-11,17073567
2018-03-12,20152181
2018-03-13,17796981
2018-03-14,17271064
2018-03-15,16407552
2018-03-16,15372374
2018-03-17,16342984
2018-03-18,16414599
2018-03-19,18388919
2018-03-20,14644930
2018-03-21,12833621
2018-03-22,13766026
2018-03-23,12879676
2018-03-24,13231633
2018-03-25,13159737
2018-03-26,16294810
2018-03-27,15275477
2018-03-28,14553884
2018-03-29,13251342
2018-03-30,13090177
2018-03-31,12826368
2018-04-01,11259873
2018-04-02,13051816
2018-04-03,15928867
2018-04-04,15682521
2018-04-05,14890824
2018-04-06,13634419
2018-04-07,18323874
2018-04-08,15843719
2018-04-09,18092376
2018-04-10,17170728
2018-04-11,16846581
2018-04-12,15423647
2018-04-13,13761863
2018-04-14,13340102
2018-04-15,16104613
2018-04-16,18203945
2018-04-17,16734997
2018-04-18,17254357
2018-04-19,16199341
2018-04-20,14327680
2018-04-21,15958476
2018-04-22,15569069
2018-04-23,18140833
2018-04-24,17528980
2018-04-25,17267992
2018-04-26,16108671
2018-04-27,14515163
2018-04-28,16136390
2018-04-29,15881115
2018-04-30,18923636
2018-05-01,16142923
2018-05-02,14018406
2018-05-03,15214994
2018-05-04,13764587
2018-05-05,16659415
2018-05-06,15368782
2018-05-07,17320092
2018-05-08,16481671
2018-05-09,14548231
2018-05-10,14225489
2018-05-11,12794687
2018-05-12,14867134
2018-05-13,14389345
2018-05-14,16355434
2018-05-15,15604482
2018-05-16,14917607
2018-05-17,13606648
2018-05-18,12523207
2018-05-19,14528074
2018-05-20,14363968
2018-05-21,17110999
2018-05-22,15559405
2018-05-23,15660867
2018-05-24,14200142
2018-05-25,12664629
2018-05-26,14090249
2018-05-27,14770893
2018-05-28,16343943
2018-05-29,15701938
2018-05-30,14709268
2018-05-31,13773614
2018-06-01,11910057
2018-06-02,13841210
2018-06-03,13662463
2018-06-04,13247904
2018-06-05,12203374
2018-06-06,12203540
2018-06-07,13134303
2018-06-08,12018707
2018-06-09,14327781
2018-06-10,13893716
2018-06-11,15813795
2018-06-12,14804254
2018-06-13,14391326
2018-06-14,13525499
2018-06-15,10556820
2018-06-16,10795390
2018-06-17,13387015
2018-06-18,15410546
2018-06-19,15754303
2018-06-20,14845272
2018-06-21,14276123
2018-06-22,12687223
2018-06-23,14998124
2018-06-24,14115452
2018-06-25,17262717
2018-06-26,14744412
2018-06-27,14538648
2018-06-28,13885417
2018-06-29,12778638
2018-06-30,15168152
2018-07-01,14687989
2018-07-02,16136119
2018-07-03,16004296
2018-07-04,15327172
2018-07-05,14157664
2018-07-06,13048652
2018-07-07,14817996
2018-07-08,14793274
2018-07-09,14475058
2018-07-10,15297513
2018-07-11,15239699
2018-07-12,13907787
2018-07-13,12863345
2018-07-14,15273562
2018-07-15,13980610
2018-07-16,16185710
2018-07-17,15484875
2018-07-18,14774962
2018-07-19,14073594
2018-07-20,13552599
2018-07-21,14621966
2018-07-22,13996583
2018-07-23,16816122
2018-07-24,15306863
2018-07-25,14133964
2018-07-26,13683455
2018-07-27,12417771
2018-07-28,13838114
2018-07-29,13544050
2018-07-30,16470638
2018-07-31,15511845
2018-08-01,15121601
2018-08-02,14692009
2018-08-03,13545508
2018-08-04,13951556
2018-08-05,14262926
2018-08-06,16040639
2018-08-07,14946219
2018-08-08,14556847
2018-08-09,13351626
2018-08-10,12721887
2018-08-11,13844580
2018-08-12,12935707
2018-08-13,16420247
2018-08-14,15114150
2018-08-15,14396292
2018-08-16,13682073
2018-08-17,11975715
2018-08-18,13486990
2018-08-19,13140528
2018-08-20,15091795
2018-08-21,12654770
2018-08-22,10833467
2018-08-23,11461169
2018-08-24,11583597
2018-08-25,13266751
2018-08-26,14115694
2018-08-27,16272148
2018-08-28,15288407
2018-08-29,14887923
2018-08-30,14240116
2018-08-31,13547629
2018-09-01,15353495
2018-09-02,14824882
2018-09-03,17057579
2018-09-04,17027188
2018-09-05,15540204
2018-09-06,15527812
2018-09-07,13951248
2018-09-08,15738415
2018-09-09,15186553
2018-09-10,17311152
2018-09-11,16456513
2018-09-12,15271724
2018-09-13,14717336
2018-09-14,13528460
2018-09-15,15473879
2018-09-16,15376233
2018-09-17,17183592
2018-09-18,15230089
2018-09-19,11797232
2018-09-20,10473202
2018-09-21,10975493
2018-09-22,14094555
2018-09-23,14026865
2018-09-24,16843596
2018-09-25,16278933
2018-09-26,15808802
2018-09-27,13894430
2018-09-28,12965917
2018-09-29,15261761
2018-09-30,14897881
2018-10-01,16899479
2018-10-02,15406277
2018-10-03,15094390
2018-10-04,14900864
2018-10-05,14923223
2018-10-06,15829678
2018-10-07,15768628
2018-10-08,17480871
2018-10-09,16027262
2018-10-10,14847638
2018-10-11,14300421
2018-10-12,13070703
2018-10-13,14220600
2018-10-14,13392042
2018-10-15,16977404
2018-10-16,16440774
2018-10-17,16126771
2018-10-18,14154813
2018-10-19,12909707
2018-10-20,14751680
2018-10-21,14386080
2018-10-22,16893312
2018-10-23,15874378
2018-10-24,16273194
2018-10-25,15197348
2018-10-26,13425736
2018-10-27,14845856
2018-10-28,14836773
2018-10-29,17699508
2018-10-30,13343210
2018-10-31,15836589
2018-11-01,14840488
2018-11-02,13235426
2018-11-03,15157678
2018-11-04,14469320
2018-11-05,17004324
2018-11-06,15451302
2018-11-07,14196267
2018-11-08,13573508
2018-11-09,13713764
2018-11-10,15255221
2018-11-11,16180597
2018-11-12,17585480
2018-11-13,16984854
2018-11-14,15051829
2018-11-15,15778933
2018-11-16,14289215
2018-11-17,16080500
2018-11-18,15402278
2018-11-19,18388082
